name,iso_country,iso_region,scheduled_service,iata_code
Erenhot Saiwusu International Airport,CN,CN-15,yes,ERL
Arxan Yi'ershi Airport,CN,CN-15,yes,YIE
Handan Airport,CN,CN-13,yes,HDG
Hohhot Baita International Airport,CN,CN-15,yes,HET
Holingol Huolinhe Airport,CN,CN-15,yes,HUO
Hulunbuir Hailar Airport,CN,CN-15,yes,HLD
Linfen Yaodu Airport,CN,CN-14,yes,LFQ
Lüliang Dawu Airport,CN,CN-61,yes,LLV
Manzhouli Xijiao Airport,CN,CN-15,yes,NZH
Baotou Donghe Airport,CN,CN-15,yes,BAV
Shijiazhuang Zhengding International Airport,CN,CN-13,yes,SJW
Tianjin Binhai International Airport,CN,CN-12,yes,TSN
Tongliao Airport,CN,CN-15,yes,TGO
Ulanqab Jining Airport,CN,CN-15,yes,UCB
Wuhai Airport,CN,CN-15,yes,WUA
Ulanhot Yilelite Airport,CN,CN-15,yes,HLH
Xilinhot Airport,CN,CN-15,yes,XIL
Xinzhou Wutaishan Airport,CN,CN-14,yes,WUT
Yuncheng Zhangxiao Airport,CN,CN-61,yes,YCU
Taiyuan Wusu Airport,CN,CN-14,yes,TYN
Bayannur Tianjitai Airport,CN,CN-15,yes,RLK
Zhalantun Genghis Khan Airport,CN,CN-15,yes,NZL
Delma Airport,AE,AE-AZ,yes,ZDY
Beihai Fucheng Airport,CN,CN-45,yes,BHY
Changde Taohuayuan Airport,CN,CN-43,yes,CGD
Huaihua Zhijiang Airport,CN,CN-43,yes,HJJ
Chenzhou Beihu Airport,CN,CN-43,yes,HCZ
Zhangjiajie Hehua International Airport,CN,CN-43,yes,DYG
Guangzhou Baiyun International Airport,CN,CN-44,yes,CAN
Changsha Huanghua International Airport,CN,CN-43,yes,CSX
Hechi Jinchengjiang Airport,CN,CN-45,yes,HCJ
Shihezi Huayuan Airport,CN,CN-65,yes,SHF
Hengyang Nanyue Airport,CN,CN-43,yes,HNY
Guilin Liangjiang International Airport,CN,CN-45,yes,KWL
Yongzhou Lingling Airport,CN,CN-43,yes,LLF
Meizhou Meixian Changgangji International Airport,CN,CN-44,yes,MXZ
Nanning Wuxu Airport,CN,CN-45,yes,NNG
Jieyang Chaoshan International Airport,CN,CN-44,yes,SWA
Zhuhai Jinwan Airport,CN,CN-44,yes,ZUH
Shaoyang Wugang Airport,CN,CN-43,yes,WGN
Shenzhen Bao'an International Airport,CN,CN-44,yes,SZX
Xiangxi Biancheng Airport,CN,CN-43,yes,DXJ
Yulin Fumian Airport,CN,CN-45,yes,YLX
Liuzhou Bailian Airport / Bailian Air Base,CN,CN-45,yes,LZH
Zhengzhou Xinzheng International Airport,CN,CN-41,yes,CGO
Enshi Xujiaping Airport,CN,CN-42,yes,ENH
Wuhan Tianhe International Airport,CN,CN-42,yes,WUH
Jingzhou Shashi Airport,CN,CN-42,yes,SHS
Luoyang Beijiao Airport,CN,CN-41,yes,LYA
Nanyang Jiangying Airport,CN,CN-41,yes,NNY
Anyang Hongqiqu Airport,CN,CN-41,yes,HQQ
Shennongjia Hongping Airport,CN,CN-42,yes,HPG
Shiyan Wudangshan Airport,CN,CN-42,yes,WDS
Xiangyang Liuji Airport,CN,CN-42,yes,XFN
Yichang Sanxia Airport,CN,CN-42,yes,YIH
Haikou Meilan International Airport,CN,CN-46,yes,HAK
Qionghai Bo'ao Airport,CN,CN-46,yes,BAR
Sanya Phoenix International Airport,CN,CN-46,yes,SYX
Yongxing Dao (Woody Island) Airport,CN,CN-46,yes,XYI
Pyongyang Sunan International Airport,KP,KP-01,yes,FNJ
Sondok Airport,KP,KP-08,yes,DSO
Wonsan Kalma International Airport,KP,KP-07,yes,WOS
Ankang Fuqiang Airport,CN,CN-61,yes,AKA
Dunhuang Mogao International Airport,CN,CN-62,yes,DNH
Delingha Airport,CN,CN-63,yes,HXD
Golmud Airport,CN,CN-63,yes,GOQ
Huatugou Airport,CN,CN-63,yes,HTT
Hanzhong Chenggu Airport,CN,CN-61,yes,HZG
Yinchuan Hedong International Airport,CN,CN-64,yes,INC
Jining Qufu Airport,CN,CN-37,yes,JNG
Jiayuguan Airport,CN,CN-62,yes,JGN
Lanzhou Zhongchuan International Airport,CN,CN-62,yes,LHW
Longnan Chengzhou Airport,CN,CN-62,yes,LNL
Qingyang Xifeng Airport,CN,CN-62,yes,IQN
Gannan Xiahe Airport,CN,CN-62,yes,GXH
Xining Caojiabao International Airport,CN,CN-63,yes,XNN
Xi'an Xianyang International Airport,CN,CN-61,yes,XIY
Yulin Yuyang Airport,CN,CN-61,yes,UYN
Zhongwei Shapotou Airport,CN,CN-64,yes,ZHY
Arvaikheer Airport,MN,MN-055,yes,AVK
Altai Airport,MN,MN-065,yes,LTI
Bayankhongor Airport,MN,MN-069,yes,BYN
Bulgan Airport,MN,MN-067,yes,UGA
Ulaanbaatar Chinggis Khaan International Airport,MN,MN-047,yes,UBN
Donoi Airport,MN,MN-057,yes,ULZ
Dalanzadgad Airport,MN,MN-053,yes,DLZ
Khovd Airport,MN,MN-043,yes,HVD
Mörön Airport,MN,MN-041,yes,MXV
Ulaangom Airport,MN,MN-046,yes,ULO
Ölgii Mongolei Airport,MN,MN-071,yes,ULG
Cangyuan Washan Airport,CN,CN-53,yes,CWJ
Dali Fengyi Airport,CN,CN-53,yes,DLU
Diqing Shangri-La Airport,CN,CN-53,yes,DIG
Xishuangbanna Gasa International Airport,CN,CN-53,yes,JHG
Lancang Jingmai Airport,CN,CN-53,yes,JMJ
Lijiang Sanyi International Airport,CN,CN-53,yes,LJG
Dehong Mangshi Airport,CN,CN-53,yes,LUM
Kunming Changshui International Airport,CN,CN-53,yes,KMG
Pu'er Simao Airport,CN,CN-53,yes,SYM
Wenshan Puzhehei Airport,CN,CN-53,yes,WNH
Zhaotong Airport,CN,CN-53,yes,ZAT
Xiamen Gaoqi International Airport,CN,CN-35,yes,XMN
Anqing Tianzhushan Airport / Anqing North Air Base,CN,CN-34,yes,AQG
Changzhou Benniu International Airport,CN,CN-32,yes,CZX
Nanchang Changbei International Airport,CN,CN-36,yes,KHN
Fuyang Xiguan Airport,CN,CN-34,yes,FUG
Fuzhou Changle International Airport,CN,CN-35,yes,FOC
Ganzhou Huangjin Airport,CN,CN-36,yes,KOW
Hangzhou Xiaoshan International Airport,CN,CN-33,yes,HGH
Heze Mudan Airport,CN,CN-37,yes,HZA
Jingdezhen Luojia Airport,CN,CN-36,yes,JDZ
Jiujiang Lushan Airport,CN,CN-36,yes,JIU
Jinan Yaoqiang International Airport,CN,CN-37,yes,TNA
Quzhou Airport,CN,CN-33,yes,JUZ
Longyan Guanzhishan Airport,CN,CN-35,yes,LCX
Taizhou Luqiao Airport,CN,CN-33,yes,HYN
Linyi Qiyang Airport,CN,CN-37,yes,LYI
Ningbo Lishe International Airport,CN,CN-33,yes,NGB
Nanjing Lukou International Airport,CN,CN-32,yes,NKG
Hefei Xinqiao International Airport,CN,CN-34,yes,HFE
Shanghai Pudong International Airport,CN,CN-31,yes,PVG
Quanzhou Jinjiang International Airport,CN,CN-35,yes,JJN
Rizhao Shanzihe Airport,CN,CN-37,yes,RIZ
Shanghai Hongqiao International Airport,CN,CN-31,yes,SHA
Tunxi International Airport,CN,CN-34,yes,TXN
Wuhu Xuanzhou Airport,CN,CN-34,yes,WHA
Weifang Nanyuan Airport,CN,CN-37,yes,WEF
Weihai Dashuibo Airport,CN,CN-37,yes,WEH
Sunan Shuofang International Airport,CN,CN-32,yes,WUX
Nanping Wuyishan Airport,CN,CN-35,yes,WUS
Wenzhou Longwan International Airport,CN,CN-33,yes,WNZ
Xuzhou Guanyin International Airport,CN,CN-32,yes,XUZ
Yangzhou Taizhou Airport,CN,CN-32,yes,YTY
Yichun Mingyueshan Airport,CN,CN-36,yes,YIC
Yancheng Nanyang International Airport,CN,CN-32,yes,YNZ
Yiwu Airport,CN,CN-33,yes,YIW
